"3MOX4HOXPGALDOX_NADP__neg"	"Tyrosine metabolism"
"3MOXTYROX_pos"	"Tyrosine metabolism"
"3NTD7l_pos"	"Purine catabolism"
"3SALAASPm_pos"	"Transport, mitochondrial"
"3SALAASPm_neg"	"Transport, mitochondrial"
"3SALACBOXL_pos"	"Taurine and hypotaurine metabolism"
"3SALAOX_pos"	"Taurine and hypotaurine metabolism"
"3SALATAi_pos"	"Methionine and cysteine metabolism"
"3SALATAim_pos"	"Methionine and cysteine metabolism"
"3SPYRSP_pos"	"Methionine and cysteine metabolism"
"3SPYRSPm_pos"	"Methionine and cysteine metabolism"
"41R1H2MAE12BOOX_pos"	"Tyrosine metabolism"
"41R2A1H12BOOX_pos"	"Tyrosine metabolism"
"42A12BOOX_pos"	"Tyrosine metabolism"
"4ABUTtm_pos"	"Transport, mitochondrial"
"4ABUTtm_neg"	"Transport, mitochondrial"
"4HBZCOAFm_pos"	"Ubiquinone synthesis"
"4HBZFm_pos"	"Ubiquinone synthesis"
"4HDEBRISOQUINEte_pos"	"Transport, extracellular"
"4HDEBRISOQUINEte_neg"	"Transport, extracellular"
"4HGLSDm_pos"	"Arginine and Proline Metabolism"
"4HOXPACDOX_NADP__pos"	"Tyrosine metabolism"
"4HOXPACDOX_NADP__neg"	"Tyrosine metabolism"
"4MOPt2im_pos"	"Transport, mitochondrial"
"4MPTNLte_pos"	"Transport, extracellular"
"4MPTNLte_neg"	"Transport, extracellular"
"4MPTNLtm_pos"	"Transport, mitochondrial"
"4MPTNLtm_neg"	"Transport, mitochondrial"
"4MPTNLtr_pos"	"Transport, endoplasmic reticular"
"4MPTNLtr_neg"	"Transport, endoplasmic reticular"
"4MTOLBUTAMIDEte_pos"	"Transport, extracellular"
"4MTOLBUTAMIDEte_neg"	"Transport, extracellular"
"4NPHSFte_pos"	"Transport, extracellular"
"4NPHSFte_neg"	"Transport, extracellular"
"4NPHSULT_pos"	"Cytochrome metabolism"
"4NPHte_pos"	"Transport, extracellular"
"4NPHte_neg"	"Transport, extracellular"
"4PYRDX_pos"	"Transport, extracellular"
"5ADTSTSTERONEGLCte_pos"	"Transport, extracellular"
"5ADTSTSTERONEGLCtr_pos"	"Transport, endoplasmic reticular"
"5ADTSTSTERONEGLCtr_neg"	"Transport, endoplasmic reticular"
"5ADTSTSTERONESte_pos"	"Transport, extracellular"
"5ADTSTSTERONESte_neg"	"Transport, extracellular"
"5ADTSTSTERONESULT_pos"	"Steroid metabolism"
"5ADTSTSTERONEte_pos"	"Transport, extracellular"
"5ADTSTSTERONEte_neg"	"Transport, extracellular"
"5ADTSTSTERONEtr_pos"	"Transport, endoplasmic reticular"
"5ADTSTSTERONEtr_neg"	"Transport, endoplasmic reticular"
"5AOPtm_pos"	"Heme synthesis"
"5AOPtm_neg"	"Heme synthesis"
"5DHFtl_pos"	"Transport, lysosomal"
"5FTHFt2_pos"	"Transport, extracellular"
"5FTHFt2_neg"	"Transport, extracellular"
"5HLTDL_pos"	"Tryptophan metabolism"
"5HOMEPRAZOLEte_pos"	"Transport, extracellular"
"5HOMEPRAZOLEte_neg"	"Transport, extracellular"
"5HOXINDACTO2OX_pos"	"Tryptophan metabolism"
"5HOXINDACTOXm_pos"	"Tryptophan metabolism"
"5HOXINOXDA_pos"	"Tryptophan metabolism"
"5HTRPDOX_pos"	"Tryptophan metabolism"
"5HTRPVESSEC_pos"	"Transport, extracellular"
"5HXKYNDCL_pos"	"Tryptophan metabolism"
"5HXKYNOXDA_pos"	"Tryptophan metabolism"
"5MTHFt_pos"	"Transport, extracellular"
"5MTHFt_neg"	"Transport, extracellular"
"5MTHFt2_pos"	"Transport, extracellular"
"5MTHFt2_neg"	"Transport, extracellular"
"5THFtl_pos"	"Transport, lysosomal"
"5THFtm_pos"	"Transport, mitochondrial"
"6DHFtl_pos"	"Transport, lysosomal"
"6DHFtm_pos"	"Transport, mitochondrial"
"6HTSTSTERONEte_pos"	"Transport, extracellular"
"6HTSTSTERONEte_neg"	"Transport, extracellular"
"6HTSTSTERONEtr_pos"	"Transport, endoplasmic reticular"
"6HTSTSTERONEtr_neg"	"Transport, endoplasmic reticular"
"6THFtl_pos"	"Transport, lysosomal"
"6THFtm_pos"	"Transport, mitochondrial"
"7DHCHSTEROLtr_pos"	"Transport, endoplasmic reticular"
"7DHCHSTEROLtr_neg"	"Transport, endoplasmic reticular"
"7DHFtl_pos"	"Transport, lysosomal"
"7DHFtm_pos"	"Transport, mitochondrial"
"7THFtl_pos"	"Transport, lysosomal"
"7THFtm_pos"	"Transport, mitochondrial"
"A_MANASE_pos"	"N-glycan degradation"
"A_MANASEly_pos"	"N-glycan degradation"
"A4GALTc_pos"	"Sphingolipid metabolism"
"A4GALTg_pos"	"Sphingolipid metabolism"
"A4GNT1g_pos"	"O-glycan synthesis"
"A4GNT2g_pos"	"O-glycan synthesis"
"AACOAT_pos"	"Propanoate metabolism"
"AACTOOR_pos"	"Glycine, serine, alanine and threonine metabolism"
"AACTtm_pos"	"Transport, mitochondrial"
"AASAD3m_pos"	"Lysine metabolism"
"AATAi_pos"	"Lysine metabolism"
"AATAi_neg"	"Lysine metabolism"
"ABO1g_pos"	"Blood group synthesis"
"ABO2g_pos"	"Blood group synthesis"
"ABO3g_pos"	"Blood group synthesis"
"ABO4g_pos"	"Blood group synthesis"
"ABO5g_pos"	"Blood group synthesis"
"ABO6g_pos"	"Blood group synthesis"
"ABO7g_pos"	"Blood group synthesis"
"ABO8g_pos"	"Blood group synthesis"
"ABO9g_pos"	"Blood group synthesis"
"ABTArm_pos"	"Glutamate metabolism"
"ABTArm_neg"	"Glutamate metabolism"
"ABTD_pos"	"Pentose phosphate pathway"
"ABTD_neg"	"Pentose phosphate pathway"
"ABTti_pos"	"Transport, extracellular"
"ABUTD_pos"	"beta-Alanine metabolism"
"ABUTt2r_pos"	"Transport, extracellular"
"ABUTt2r_neg"	"Transport, extracellular"
"ABUTt2rL_pos"	"Transport, lysosomal"
"ABUTt2rL_neg"	"Transport, lysosomal"
"ABUTt4_2_r_pos"	"Transport, extracellular"
"ABUTt4_2_r_neg"	"Transport, extracellular"
"ACACT10m_pos"	"Valine, leucine, and isoleucine metabolism"
"ACACT10m_neg"	"Valine, leucine, and isoleucine metabolism"
"ACACT1r_pos"	"Tryptophan metabolism"
"ACACT1r_neg"	"Tryptophan metabolism"
"ACACT1rm_pos"	"Tryptophan metabolism"
"ACACT1x_pos"	"Cholesterol metabolism"
"ACACt2_pos"	"Transport, extracellular"
"ACACt2_neg"	"Transport, extracellular"
"ACACt2m_pos"	"Transport, mitochondrial"
"ACACt2m_neg"	"Transport, mitochondrial"
"ACACT4p_pos"	"Fatty acid oxidation"
"ACACT5p_pos"	"Fatty acid oxidation"
"ACACT6p_pos"	"Fatty acid oxidation"
"ACACT7p_pos"	"Fatty acid oxidation"
"ACACT8p_pos"	"Fatty acid oxidation"
"ACACT9p_pos"	"Fatty acid oxidation"
"ACACtx_pos"	"Transport, peroxisomal"
"ACACtx_neg"	"Transport, peroxisomal"
"ACALDt_pos"	"Transport, extracellular"
"ACALDt_neg"	"Transport, extracellular"
"ACALDtm_pos"	"Transport, mitochondrial"
"ACALDtm_neg"	"Transport, mitochondrial"
"ACALDtr_pos"	"Transport, endoplasmic reticular"
"ACALDtr_neg"	"Transport, endoplasmic reticular"
"ACALDtx_pos"	"Transport, peroxisomal"
"ACALDtx_neg"	"Transport, peroxisomal"
"ACCOAC_pos"	"Fatty acid oxidation"
"ACCOACm_pos"	"Fatty acid oxidation"
"ACCOAgt_pos"	"Transport, extracellular"
"ACCOAgt_neg"	"Transport, extracellular"
"ACCOAL_pos"	"Propanoate metabolism"
"ACCOALm_pos"	"Propanoate metabolism"
"ACCOAtn_pos"	"Transport, nuclear"
"ACCOAtn_neg"	"Transport, nuclear"
"ACCOAtr_pos"	"Transport, endoplasmic reticular"
"ACCOAtr_neg"	"Transport, endoplasmic reticular"
"ACETONEt2_pos"	"Transport, extracellular"
"ACETONEt2_neg"	"Transport, extracellular"
"ACETONEt2m_pos"	"Transport, mitochondrial"
"ACETONEt2m_neg"	"Transport, mitochondrial"
"ACGAGBSIDEtg_pos"	"Transport, golgi apparatus"
"ACGAGBSIDEtg_neg"	"Transport, golgi apparatus"
"ACGAGBSIDEtl_pos"	"Transport, lysosomal"
"ACGAGBSIDEtl_neg"	"Transport, lysosomal"
"ACGALFUCGALACGALFUC12GAL14ACGLCGALGLUSIDEte_pos"	"Transport, extracellular"
"ACGALFUCGALACGALFUC12GAL14ACGLCGALGLUSIDEte_neg"	"Transport, extracellular"
"ACGALFUCGALACGALFUC12GAL14ACGLCGALGLUSIDEtg_pos"	"Transport, golgi apparatus"
"ACGALFUCGALACGALFUC12GAL14ACGLCGALGLUSIDEtg_neg"	"Transport, golgi apparatus"
"ACGALFUCGALACGALFUCGALACGLCGAL14ACGLCGALGLUSIDEte_pos"	"Transport, extracellular"
"ACGALFUCGALACGALFUCGALACGLCGAL14ACGLCGALGLUSIDEte_neg"	"Transport, extracellular"
"ACGALFUCGALACGALFUCGALACGLCGAL14ACGLCGALGLUSIDEtg_pos"	"Transport, golgi apparatus"
"ACGALFUCGALACGALFUCGALACGLCGAL14ACGLCGALGLUSIDEtg_neg"	"Transport, golgi apparatus"
"ACGALK_pos"	"Aminosugar metabolism"
"ACGALK2_pos"	"Aminosugar metabolism"
"ACGALtlg_pos"	"Transport, golgi apparatus"
"ACGALtlg_neg"	"Transport, golgi apparatus"
"ACGALtly_pos"	"Transport, lysosomal"
"ACGAM2E_pos"	"Aminosugar metabolism"
"ACGAM2E_neg"	"Aminosugar metabolism"
"ACGAM6PSi_pos"	"Aminosugar metabolism"
"ACGAMK_pos"	"Aminosugar metabolism"
"ACGAMPM_pos"	"Aminosugar metabolism"
"ACGAMPM_neg"	"Aminosugar metabolism"
"ACGAMtly_pos"	"Transport, lysosomal"
"ACGBGBSIDEtg_pos"	"Transport, golgi apparatus"
"ACGBGBSIDEtg_neg"	"Transport, golgi apparatus"
"ACGBGBSIDEtl_pos"	"Transport, lysosomal"
"ACGBGBSIDEtl_neg"	"Transport, lysosomal"
"ACGPID_pos"	"Phosphatidylinositol phosphate metabolism"
"ACGSm_pos"	"Urea cycle"
"ACHEe_pos"	"Glycerophospholipid metabolism"
"ACHtn_pos"	"Transport, nuclear"
"ACHtn_neg"	"Transport, nuclear"
"ACHVESSEC_pos"	"Transport, extracellular"
"ACITL_pos"	"Citric acid cycle"
"ACN13ACNGALGBSIDEte_pos"	"Transport, extracellular"
"ACN13ACNGALGBSIDEte_neg"	"Transport, extracellular"
"ACN13ACNGALGBSIDEtg_pos"	"Transport, golgi apparatus"
"ACN13ACNGALGBSIDEtg_neg"	"Transport, golgi apparatus"
"ACN23ACNGALGBSIDEte_pos"	"Transport, extracellular"
"ACN23ACNGALGBSIDEte_neg"	"Transport, extracellular"
"ACN23ACNGALGBSIDEtg_pos"	"Transport, golgi apparatus"
"ACN23ACNGALGBSIDEtg_neg"	"Transport, golgi apparatus"
"ACNACNGAL14ACGLCGALGLUSIDEte_pos"	"Transport, extracellular"
"ACNACNGAL14ACGLCGALGLUSIDEte_neg"	"Transport, extracellular"
"ACNACNGAL14ACGLCGALGLUSIDEtg_pos"	"Transport, golgi apparatus"
"ACNACNGAL14ACGLCGALGLUSIDEtg_neg"	"Transport, golgi apparatus"
"ACNACNGALGBSIDEte_pos"	"Transport, extracellular"
"ACNACNGALGBSIDEte_neg"	"Transport, extracellular"
"ACNACNGALGBSIDEtg_pos"	"Transport, golgi apparatus"
"ACNACNGALGBSIDEtg_neg"	"Transport, golgi apparatus"
"ACNAM9PL_pos"	"Aminosugar metabolism"
"ACNAM9PL2_pos"	"Aminosugar metabolism"
"ACNAMlt_pos"	"Transport, lysosomal"
"ACNAMlt_neg"	"Transport, lysosomal"
"ACNAMPH_pos"	"Aminosugar metabolism"
"ACNAMtn_pos"	"Transport, nuclear"
"ACNGALACGLCGAL14ACGLCGALGLUSIDEte_pos"	"Transport, extracellular"
"ACNGALACGLCGAL14ACGLCGALGLUSIDEte_neg"	"Transport, extracellular"
"ACNGALACGLCGAL14ACGLCGALGLUSIDEtg_pos"	"Transport, golgi apparatus"
"ACNGALACGLCGAL14ACGLCGALGLUSIDEtg_neg"	"Transport, golgi apparatus"
"ACNMLr_pos"	"Aminosugar metabolism"
"ACNMLr_neg"	"Aminosugar metabolism"
"ACOAD10m_pos"	"Valine, leucine, and isoleucine metabolism"
"ACOAD1fm_pos"	"Butanoate metabolism"
"ACOAD8m_pos"	"Valine, leucine, and isoleucine metabolism"
"ACOAD9m_pos"	"Valine, leucine, and isoleucine metabolism"
"ACOAHi_pos"	"Pyruvate metabolism"
"ACOAO7p_pos"	"Fatty acid oxidation"
"ACOATA_pos"	"Fatty acid oxidation"
"ACOATA_neg"	"Fatty acid oxidation"
"ACODA_pos"	"Urea cycle"
"ACONT_pos"	"Citric acid cycle"
"ACONT_neg"	"Citric acid cycle"
"ACONTm_pos"	"Citric acid cycle"
"ACONTm_neg"	"Citric acid cycle"
"ACOX22x_pos"	"Bile acid synthesis"
"ACOX2x_pos"	"Bile acid synthesis"
"ACP1_FMN__pos"	"Vitamin B2 metabolism"
"ACRNtm_pos"	"Transport, mitochondrial"
"ACS_pos"	"Glycolysis/gluconeogenesis"
"ACS2_pos"	"Propanoate metabolism"
"ACSm_pos"	"Glycolysis/gluconeogenesis"
"ACSOMT_pos"	"Tryptophan metabolism"
"ACSRTNMT_pos"	"Tryptophan metabolism"
"ACt2m_pos"	"Transport, mitochondrial"
"ACt2m_neg"	"Transport, mitochondrial"
"ACt2r_pos"	"Transport, extracellular"
"ACt2r_neg"	"Transport, extracellular"
"ACtg_pos"	"Transport, golgi apparatus"
"ACtg_neg"	"Transport, golgi apparatus"
"ACTLMO_pos"	"Pyruvate metabolism"
"ACTNMO_pos"	"Pyruvate metabolism"
"ACYP_pos"	"Glycolysis/gluconeogenesis"
"ADA_pos"	"Purine catabolism"
"ADAe_pos"	"Purine catabolism"
"ADCim_pos"	"Propanoate metabolism"
"ADEt_pos"	"Transport, extracellular"
"ADEt_neg"	"Transport, extracellular"
"ADEtl_pos"	"Transport, lysosomal"
"ADEtl_neg"	"Transport, lysosomal"
"ADHAPtx_pos"	"Transport, peroxisomal"
"ADHAPtx_neg"	"Transport, peroxisomal"
"ADK1_pos"	"Nucleotide interconversion"
"ADK1_neg"	"Nucleotide interconversion"
"ADK1m_pos"	"Nucleotide interconversion"
"ADK1m_neg"	"Nucleotide interconversion"
"ADK3_pos"	"Nucleotide interconversion"
"ADK3_neg"	"Nucleotide interconversion"
"ADK3m_pos"	"Nucleotide interconversion"
"ADK3m_neg"	"Nucleotide interconversion"
"ADKd_pos"	"Nucleotide interconversion"
"ADKd_neg"	"Nucleotide interconversion"
"ADMDC_pos"	"Arginine and Proline Metabolism"
"ADNCYC_pos"	"Nucleotide interconversion"
"ADNK1_pos"	"Nucleotide interconversion"
"ADNK1m_pos"	"Nucleotide interconversion"
"ADNt_pos"	"Transport, extracellular"
"ADNt_neg"	"Transport, extracellular"
"ADNt4_pos"	"Transport, extracellular"
"ADNtl_pos"	"Transport, lysosomal"
"ADNtl_neg"	"Transport, lysosomal"
"ADNtm_pos"	"Transport, mitochondrial"
"ADNtm_neg"	"Transport, mitochondrial"
"ADPGLC_pos"	"Nucleotide interconversion"
"ADPMAN_pos"	"Nucleotide interconversion"
"ADPRDP_pos"	"Nucleotide interconversion"
"ADPRDPm_pos"	"Nucleotide interconversion"
"ADPRIBt_pos"	"Transport, extracellular"
"ADPT_pos"	"Nucleotide salvage pathway"
"ADPtx_pos"	"Transport, peroxisomal"
"ADPtx_neg"	"Transport, peroxisomal"
"ADRNCOAtx_pos"	"Transport, peroxisomal"
"ADRNCOAtx_neg"	"Transport, peroxisomal"
"ADRNCPT1_pos"	"Fatty acid oxidation"
"ADRNCPT2_pos"	"Fatty acid oxidation"
"ADRNCRNt_pos"	"Fatty acid oxidation"
"ADRNLPVESSEC_pos"	"Transport, extracellular"
"ADRNt_pos"	"Transport, extracellular"
"ADRNt_neg"	"Transport, extracellular"
"ADSELK_pos"	"Selenoamino acid metabolism"
"ADSK_pos"	"Nucleotide interconversion"
"ADSL1_pos"	"Nucleotide interconversion"
"ADSL2_pos"	"Purine synthesis"
"ADSS_pos"	"Nucleotide interconversion"
